Old Team,Player,Yr.,Status
Alaska,A.J. Macaulay,So,Transferred to Bemidji State
Colorado College,Logan Will,Sr,Grad Transferred to Providence
RIT,Tommy Scarfone,Jr,Transferred to Wisconsin
Wisconsin,Brady Cleveland,Fr,Transferred to Colorado College
Wisconsin,Charlie Stramel,So,Transferred to Michigan State
Maine,Bradly Nadeau,Fr,Signed with Carolina (NHL)
Colorado College,Chase Foley,Jr,Transferred to St. Thomas
Michigan,John Druskinis,So,Transferred to Lake Superior
Michigan Tech,Kyle Kukkonen,So,Transferred to Wisconsin
Bemidji State,Eric Pohlkamp,Fr,Transferred to Denver
Massachusetts,Taylor Makar,Sr,Grad Transferred to Maine
Air Force,Owen Baumgartner,Fr,Transferred to Augustana
Notre Dame,Jake Boltmann,Sr,Grad Transferred to Northeastern
Massachusetts,Aaron Bohlinger,Sr,Grad Transferred to Quinnipiac
Alaska-Anchorage,Jared Whale,So,Transferred to New Hampshire
Connecticut,Matthew Wood,So,Transferred to Minnesota
Quinnipiac,Cristophe Tellier,Sr,Grad Transferred to Northeastern
Omaha,Joaquim Lemay,So,Transferred to Northeastern
Alaska,Caleb MacDonald,Fr,Transferred to North Dakota
Quinnipiac,Collin Graf,Jr,Signed with San Jose (NHL) as free agent
Dartmouth,Cooper Black,So,Signed with Florida (NHL) as free agent
Quinnipiac,Sam Lipkin,So,Signed with Arizona (NHL)
Michigan Tech,Ryland Mosley,Sr,Transferred to Wisconsin
Holy Cross,Jake Higgins,Sr,Transferred to Northeastern
Alaska,Pierce Charleson,Sr,Transferred to Niagara
Quinnipiac,Christophe Fillion,Jr,Transferred to Miami
Ferris State,Antonio Venuto,Sr,Transferred to Merrimack
Omaha,Michael Abgrall,So,Transferred to Holy Cross
Connecticut,Jake Black,So,Transferred to Bentley
Niagara,Carter Randklev,Sr,Transferred to Bemidji State
Niagara,David Posma,So,Transferred to American Int'l
Alaska-Anchorage,Brett Bamber,So,Transferred to American Int'l
Massachusetts,Scott Morrow,Jr,Signed with Carolina (NHL)
Dartmouth,Joey Musa,Sr,Transferred to Massachusetts
Quinnipiac,Jacob Quillan,Jr,Signed with Toronto (NHL) as free agent
Colgate,Ryan McGuire,Jr,Transferred to Northeastern
Connecticut,Arsenii Sergeev,So,Transferred to Penn State
Mass.-Lowell,Owen Fowler,Sr,Transferred to Maine
Northern Michigan,Mikey Colella,Sr,Grad Transferred to Canisius
Princeton,Ian Murphy,Sr,Grad Transferred to Notre Dame
St. Cloud State,Jack Peart,Jr,Signed with Minnesota (NHL)
St. Cloud State,Dominic Basse,Sr,Grad Transferred to St. Lawrence
Holy Cross,Jack Ricketts,Sr,Grad Transferred to Quinnipiac
Arizona State,Ryan O'Reilly,Sr,Grad Transferred to Providence
Clarkson,Noah Beck,Sr,Grad Transferred to Arizona State
Lake Superior,Ethan Langenegger,Sr,Grad Transferred to Clarkson
Sacred Heart,John Jaworski,Sr,Grad Transferred to Merrimack
Lake Superior,Harrison Roy,Sr,Grad Transferred to Merrimack
Bemidji State,Lleyton Roed,So,Signed with Seattle (NHL) as free agent
Minnesota-Duluth,Ben Steeves,So,Signed with Florida (NHL) as free agent
Princeton,Nick Carabin,Sr,Grad Transferred to Connecticut
Colgate,Pierson Brandon,Sr,Grad Transferred to Mass.-Lowell
Providence,Riley Duran,Jr,Signed with Boston (NHL)
Ohio State,Stephen Halliday,So,Signed with Ottawa (NHL)
